t,omega_hub,omega_gnd,tau_gen,T_max,n_slack,backline_payout,k_mppt_scale
0.019999999999999858,9.809163160573084,9.991027213784342,1098.0268726523725,0.0,75,0.0,1.0
0.03999999999999904,9.933916374897583,9.96551056065147,1092.4254080790158,0.0,75,0.0,1.0
0.05999999999999823,10.05523735974605,9.698161360172856,1034.597671447448,0.0,75,0.0,1.0
0.07999999999999742,10.174846417692347,9.335526361795251,958.6725769695149,0.0,75,0.0,1.0
0.0999999999999966,10.294607651750908,8.962693409075733,883.6286045959855,0.0,75,0.0,1.0
0.11999999999999579,10.415857127401027,8.626683031322255,818.6162613519366,0.0,75,0.0,1.0
0.14000000000000018,10.539500467063036,8.353120706616883,767.520880932429,0.0,75,0.0,1.0
0.1600000000000063,10.66585696383945,8.156506141305531,731.8145167647033,0.0,75,0.0,1.0
0.18000000000001243,10.794725634000153,8.042995119642915,711.5874754405974,0.0,75,0.0,1.0
0.20000000000001855,10.92548720825551,8.009331224647772,705.6432533272955,0.0,75,0.0,1.0
0.22000000000002468,11.057340577337351,8.042649637343716,711.5263450797152,0.0,75,0.0,1.0
0.2400000000000308,11.189445709966298,8.123312021487457,725.8701801828691,0.0,75,0.0,1.0
0.26000000000003,11.320819597179756,8.230093717060358,745.0788685075602,0.0,75,0.0,1.0
0.28000000000002223,11.450486922053074,8.345685243681558,766.1550840526452,0.0,75,0.0,1.0
0.3000000000000145,11.577776170343755,8.460448208163426,787.3710227131729,0.0,75,0.0,1.0
0.3200000000000067,11.702377125042554,8.573222052590335,808.5014999932337,0.0,75,0.0,1.0
0.33999999999999897,11.82439729686068,8.689298487006933,830.5429901593109,0.0,75,0.0,1.0
0.3599999999999912,11.94431571296201,8.816865930634084,855.1083732265363,0.0,75,0.0,1.0
0.37999999999998346,12.062615361724069,8.963383089103472,883.764600422287,0.0,75,0.0,1.0
0.3999999999999757,12.179554909318655,9.132807592037885,917.4899196450332,0.0,75,0.0,1.0
0.41999999999996795,12.295298752169968,9.324279344010396,956.3640381365283,0.0,75,0.0,1.0
0.4399999999999602,12.409865937612892,9.532519478352734,999.558203656917,0.0,75,0.0,1.0
0.45999999999995245,12.523090217823624,9.749588724708055,1045.5992833104988,0.0,75,0.0,1.0
0.4799999999999447,12.634826584245076,9.967232655656824,1092.8029949319096,0.0,75,0.0,1.0
0.49999999999993694,12.74501297411307,10.17895367946684,1139.7220780960467,0.0,75,0.0,1.0
0.5199999999999569,12.853632849899785,10.381122228797379,1185.4446860215417,0.0,75,0.0,1.0
0.5399999999999769,12.960659933121098,10.572906497579124,1229.6498698720595,0.0,75,0.0,1.0
0.559999999999997,13.066201651896503,10.7553625945737,1272.4560699483063,0.0,75,0.0,1.0
0.580000000000017,13.170367575471364,10.93028989037483,1314.1836079639324,0.0,75,0.0,1.0
0.600000000000037,13.273177971630394,11.099263052129404,1355.1300433040142,0.0,75,0.0,1.0
0.620000000000057,13.374575723812452,11.26310468800458,1395.432799342458,0.0,75,0.0,1.0
0.640000000000077,13.474566017580782,11.421864262622664,1435.0488155715448,0.0,75,0.0,1.0
0.660000000000097,13.573147852044864,11.575208920662883,1473.8400771269294,0.0,75,0.0,1.0
0.680000000000117,13.670273732601451,11.722838032421329,1511.6742468782236,0.0,75,0.0,1.0
0.700000000000137,13.76588456675776,11.86472804625209,1548.4894877267302,0.0,75,0.0,1.0
0.720000000000157,13.86000646982873,12.001157310403896,1584.3055446796693,0.0,75,0.0,1.0
0.740000000000177,13.95266943389647,12.132651487191305,1619.2135532060993,0.0,75,0.0,1.0
0.760000000000197,14.043865791725425,12.259802609462708,1653.330360252875,0.0,75,0.0,1.0
0.780000000000217,14.133515666078159,12.383103227975077,1686.7537011015545,0.0,75,0.0,1.0
0.800000000000237,14.221621242332047,12.50285517713477,1719.5352633844627,0.0,75,0.0,1.0
0.820000000000257,14.308190537008125,12.619259683442538,1751.7028645397409,0.0,75,0.0,1.0
0.840000000000277,14.393233329492018,12.732504643589145,1783.2834194892107,0.0,75,0.0,1.0
0.860000000000297,14.476687883803525,12.842816331370436,1814.317244534467,0.0,75,0.0,1.0
0.880000000000317,14.558539942047032,12.950384452470791,1844.837032134769,0.0,75,0.0,1.0
0.900000000000337,14.638815076431179,13.05535140108434,1874.8642022637432,0.0,75,0.0,1.0
0.920000000000357,14.717540697218674,13.157873790022908,1904.4260694158897,0.0,75,0.0,1.0
0.940000000000377,14.794738105333465,13.258089291970041,1933.5462484123573,0.0,75,0.0,1.0
0.960000000000397,14.870352119959534,13.356095677717164,1962.2382092756864,0.0,75,0.0,1.0
0.980000000000417,14.944373861827803,13.451886627062528,1990.4857921007804,0.0,75,0.0,1.0
1.000000000000437,15.016824300533516,13.54541788981871,2018.2618039080282,0.0,75,0.0,1.0
1.020000000000457,15.087728786607116,13.636721893896585,2045.562024126263,0.0,75,9.51485873176256e-11,1.0
1.040000000000477,15.15711567309636,13.725916441813379,2072.408603844071,0.0,75,5.802318588701843e-9,1.0
1.060000000000497,15.224985606625356,13.813161820321566,2098.837834218283,0.0,75,6.313530726402772e-8,1.0
1.080000000000517,15.291301545341026,13.898573611315657,2124.8738327207593,0.0,75,3.3915615078509534e-7,1.0
1.100000000000537,15.356089455356953,13.982151384870336,2150.506130843746,0.0,75,1.2375944570256042e-6,1.0
1.120000000000557,15.419378140565806,14.063870119654299,2175.716870167555,0.0,75,3.536377868926892e-6,1.0
1.140000000000577,15.481195008985377,14.143724124883164,2200.494253328822,0.0,75,8.536599027711074e-6,1.0
1.160000000000597,15.541566714927754,14.221732397769845,2224.8343963315406,0.0,75,1.8214754874362135e-5,1.0
1.180000000000617,15.600508791896063,14.297945753064095,2248.7437803331995,0.0,75,3.537200283088373e-5,1.0
1.200000000000637,15.657988192164215,14.37243238187028,2272.2349382857674,0.0,75,6.377574779486022e-5,1.0
1.220000000000657,15.714025452001154,14.445207821914712,2295.304319201366,0.0,75,0.00010829015729714083,1.0
1.240000000000677,15.768650498245822,14.516281368782655,2317.9466725543307,0.0,75,0.00017499324510942082,1.0
1.260000000000697,15.82189300394163,14.585689892305473,2340.1658459795226,0.0,75,0.00027127900480903243,1.0
1.280000000000717,15.873781793688867,14.65348975399224,2361.972381673911,0.0,75,0.0004059437472957307,1.0
1.300000000000737,15.924344345105274,14.719737324162372,2383.3773358157273,0.0,75,0.0005892563280360768,1.0
